Age 	GR
5815	0.5504
5816	0.4551
5817	0.3386
5818	0.2434
5819	0.307
5820	0.6455
5821	0.4445
5822	0.3598
5823	0.3387
5824	0.3387
5825	0.4762
5826	0.2646
5827	0.9948
5828	0.4234
5829	0.1164
5830	0.3281
5831	0.3069
5832	0.2011
5833	0.5291
5834	0.3916
5835	0.3598
5836	0.8255
5837	0.4763
5838	0.3281
5839	0.3175
5840	0.5291
5841	0.2858
5842	0.2117
5843	0.5397
5844	0.3281
5845	0.4657
5846	0.6773
5847	0.2858
5848	0.3809
5849	0.2752
5850	0.2858
5851	0.4868
5852	0.1799
5853	0.4763
5854	0.254
5855	0.3175
5856	0.4339
5857	0.4022
5858	0.3598
5859	0.6244
5860	0.4127
5861	0.2329
5862	0.2857
5863	0.3704
5864	0.2964
5865	0.2963
5866	0.3387
5867	0.4656
5868	0.2435
5869	0.3915
5870	0.3705
5871	0.3386
5872	0.3493
5873	0.4868
5874	0.381
5875	0.3175
5876	0.5398
5877	0.254
5878	0.5186
5879	0.3492
5880	0.1693
5881	0.1482
5882	0.1058
5883	0.381
5884	0.3704
5885	0.2858
5886	0.2857
5887	0.4445
5888	0.4234
5889	0.4551
5890	0.328
5891	0.127
5892	0.2964
5893	0.3281
5894	0.381
5895	0.2963
5896	0.381
5897	0.3916
5898	0.4657
5899	0.254
5900	0.4762
5901	0.3281
5902	0.4657
5903	0.5714
5904	0.6668
5905	0.3387
5906	0.2751
5907	0.3493
5908	0.2751
5909	0.3916
5910	0.2752
5911	0.2434
5912	0.2223
5913	0.3916
5914	0.4233
5915	0.5609
5916	0.381
5917	0.1799
5918	0.5292
5919	0.2857
5920	0.4763
5921	0.1905
5922	0.3175
5923	0.4127
5924	0.254
5925	0.2646
5926	0.2646
5927	0.4762
5928	0.6033
5929	0.6562
5930	0.4021
5931	0.7091
5932	0.2117
5933	0.4656
5934	0.3387
5935	0.4128
5936	0.3175
5937	0.3598
5938	0.6033
5939	0.1799
5940	0.1694
5941	0.1164
5942	0.2646
5943	0.3704
5944	0.254
5945	0.2963
5946	0.2435
5947	0.2963
5948	0.4233
5949	0.2011
5950	0.2223
5951	0.1481
5952	0.381
5953	0.254
5954	0.6033
5955	0.5715
5956	0.1693
5957	0.1376
5958	0.1799
5959	0.127
5960	0.2858
5961	0.3069
5962	0.1587
5963	0.2646
5964	0.3916
5965	0.2963
5966	0.3069
5967	0.3387
5968	0.2434
5969	0.4234
5970	0.0846
5971	0.1164
5972	0.2329
5973	0.3704
5974	0.3387
5975	0.2222
5976	0.3492
5977	0.2223
5978	0.254
5979	0.2328
5980	0.3281
5981	0.1376
5982	0.2011
5983	0.2751
5984	0.1694
5985	0.3175
5986	0.3069
5987	0.4233
5988	0.4869
5989	0.2434
5990	0.2963
5991	0.2117
5992	0.2011
5993	0.2222
5994	0.3175
5995	0.6456
5996	0.2752
5997	0.3915
5998	0.4975
5999	0.1481
6000	0.2646
6001	0.5292
6002	0.5397
6003	0.5398
6004	0.4233
6005	0.2964
6006	0.4233
6007	0.1693
6008	0.2646
6009	0.3387
6010	0.1693
6011	0.2963
6012	0.2858
6013	0.4339
6014	0.3175
6015	0.4233
6016	0.2858
6017	0.1693
6018	0.3916
6019	0.254
6020	0.1905
6021	0.1799
6022	0.2752
6023	0.1905
6024	0.3281
6025	0.4127
6026	0.254
6027	0.3599
6028	0.2645
6029	0.2117
6030	0.1482
6031	0.2222
6032	0.1799
6033	0.4128
6034	0.1905
6035	0.127
6036	0.2328
6037	0.3281
6038	0.3704
6039	0.254
6040	0.2011
6041	0.4974
6042	0.1694
6043	0.5503
6044	0.2011
6045	0.3492
6046	0.2752
6047	0.2117
6048	0.2434
6049	0.2963
6050	0.2646
6051	0.2434
6052	0.3599
6053	0.2751
6054	0.4974
6055	0.6033
6056	0.3916
6057	0.2646
6058	0.3175
6059	0.1481
6060	0.3175
6061	0.0953
6062	0.2434
6063	0.2328
6064	0.2329
6065	0.2857
6066	0.254
6067	0.1799
6068	0.3281
6069	0.2117
6070	0.1799
6071	0.3387
6072	0.0952
6073	0.2646
6074	0.7726
6075	0.1799
6076	0.4868
6077	0.2964
6078	0.3175
6079	0.2858
6080	0.2645
6081	0.3281
6082	0.635
6083	0.3175
6084	0.3175
6085	0.254
6086	0.1164
6087	0.2223
6088	0.4445
6089	0.508
6090	0.254
6091	0.1693
6092	0.3069
6093	0.4657
6094	0.2646
6095	0.1905
6096	0.254
6097	0.0952
6098	0.1165
6099	0.2328
6100	0.4339
6101	0.3704
6102	0.2011
6103	0.2223
6104	0.0952
6105	0.508
6106	0.4128
6107	0.254
6108	0.2116
6109	0.2223
6110	0.3175
6111	0.3175
6112	0.381
6113	0.254
6114	0.1799
6115	0.1799
6116	0.1799
6117	0.2117
6118	0.1905
6119	0.3493
6120	0.3704
6121	0.1799
6122	0.1376
6123	0.2116
6124	0.3387
6125	0.2223
6126	0.3175
6127	0.254
6128	0.2857
6129	0.3598
6130	0.1905
6131	0.4022
6132	0.3916
6133	0.28573
6134	0.09525
6135	0.09525
6136	0.21167
6137	0.254
