Age 	 GS
5.413750600000000304e+03	1.890229999999999961e+02
5.413779800000000250e+03	1.882309999999999945e+02
5.413809299999999894e+03	1.870430000000000064e+02
5.413839200000000346e+03	1.864040000000000248e+02
5.413869499999999789e+03	1.863340000000000032e+02
5.413900200000000041e+03	1.862590000000000146e+02
5.413930999999999585e+03	1.864890000000000043e+02
5.413962599999999838e+03	1.870790000000000077e+02
5.413994599999999991e+03	1.876370000000000005e+02
5.414027100000000246e+03	1.883190000000000168e+02
5.414060099999999693e+03	1.889350000000000023e+02
5.414093300000000454e+03	1.894300000000000068e+02
5.414127400000000307e+03	1.896550000000000011e+02
5.414162100000000464e+03	1.889429999999999836e+02
5.414197299999999814e+03	1.870320000000000107e+02
5.414233199999999670e+03	1.846800000000000068e+02
5.414269699999999830e+03	1.823609999999999900e+02
5.414306499999999687e+03	1.807409999999999854e+02
5.414344399999999951e+03	1.797509999999999764e+02
5.414382900000000518e+03	1.789540000000000077e+02
5.414422199999999975e+03	1.786890000000000214e+02
5.414464299999999639e+03	1.787040000000000077e+02
5.414510800000000017e+03	1.786929999999999836e+02
5.414560999999999694e+03	1.790790000000000077e+02
5.414614000000000487e+03	1.801440000000000055e+02
5.414670200000000477e+03	1.811349999999999909e+02
5.414728500000000167e+03	1.825970000000000084e+02
5.414788300000000163e+03	1.843070000000000164e+02
5.414849100000000362e+03	1.862059999999999889e+02
5.414909800000000359e+03	1.887120000000000175e+02
5.414970900000000256e+03	1.912450000000000045e+02
5.415031399999999849e+03	1.930379999999999825e+02
5.415090600000000450e+03	1.941570000000000107e+02
5.415148000000000138e+03	1.947500000000000000e+02
5.415203000000000429e+03	1.943809999999999718e+02
5.415254700000000412e+03	1.929679999999999893e+02
5.415303300000000490e+03	1.908109999999999786e+02
5.415347899999999754e+03	1.883420000000000130e+02
5.415387899999999718e+03	1.863100000000000023e+02
5.415422700000000077e+03	1.854640000000000271e+02
5.415454499999999825e+03	1.864850000000000136e+02
5.415485499999999774e+03	1.891479999999999961e+02
5.415515500000000429e+03	1.919020000000000152e+02
5.415545100000000275e+03	1.942429999999999950e+02
5.415573900000000322e+03	1.969120000000000061e+02
5.415601999999999862e+03	1.999650000000000034e+02
5.415629500000000007e+03	2.026209999999999809e+02
5.415656299999999646e+03	2.054120000000000061e+02
5.415682200000000194e+03	2.088849999999999909e+02
5.415707800000000134e+03	2.128179999999999836e+02
5.415732799999999770e+03	2.173720000000000141e+02
5.415757300000000214e+03	2.218259999999999934e+02
5.415781200000000354e+03	2.252309999999999945e+02
5.415804399999999987e+03	2.257440000000000282e+02
5.415827299999999923e+03	2.238059999999999832e+02
5.415849799999999959e+03	2.195000000000000000e+02
5.415871799999999894e+03	2.169309999999999832e+02
5.415893399999999929e+03	2.172649999999999864e+02
5.415914600000000064e+03	2.200190000000000055e+02
5.415935400000000300e+03	2.218690000000000282e+02
5.415955700000000434e+03	2.218329999999999984e+02
5.415975900000000365e+03	2.195620000000000118e+02
5.415995799999999690e+03	2.165729999999999791e+02
5.416015400000000227e+03	2.133379999999999939e+02
5.416034700000000157e+03	2.106640000000000157e+02
5.416053799999999683e+03	2.079459999999999980e+02
5.416072500000000218e+03	2.055649999999999977e+02
5.416091199999999844e+03	2.033129999999999882e+02
5.416109800000000178e+03	2.003849999999999909e+02
5.416128200000000106e+03	1.977930000000000064e+02
5.416146499999999833e+03	1.960379999999999825e+02
5.416164499999999862e+03	1.944509999999999934e+02
5.416182600000000093e+03	1.931690000000000111e+02
5.416200700000000325e+03	1.912750000000000057e+02
5.416218700000000354e+03	1.894449999999999932e+02
5.416236799999999675e+03	1.886540000000000248e+02
5.416254899999999907e+03	1.893309999999999889e+02
5.416272799999999734e+03	1.910420000000000016e+02
5.416291000000000167e+03	1.923609999999999900e+02
5.416309299999999894e+03	1.928400000000000034e+02
5.416327699999999822e+03	1.914209999999999923e+02
5.416346199999999953e+03	1.887940000000000111e+02
5.416364900000000489e+03	1.853619999999999948e+02
5.416383700000000317e+03	1.811740000000000066e+02
5.416402600000000348e+03	1.780809999999999889e+02
5.416421900000000278e+03	1.771399999999999864e+02
5.416441200000000208e+03	1.785759999999999934e+02
5.416460299999999734e+03	1.812100000000000080e+02
5.416479100000000471e+03	1.837450000000000045e+02
5.416497500000000400e+03	1.859640000000000271e+02
