Distance (mm)	Ba/Ca (uM/M)	Cu/Ca (uM/M)	Ni/Ca  (uM/M)	Co/Ca (uM/M)	Zn/Ca (uM/M)	Sr/Ca  (mM/M)	P/Ca (mM/M)	Mg/Ca (mM/M)	U/Ca (uM/M)	Br/Ca (mM/m)	Pb/Ca (uM/M)	Al/Ca  (mM/M)	Fe/Ca (uM/M)	Mn/Ca  (uM/M)	Na/Ca  (mM/M)	Age (yrs BP)	Age (kyr BP)
86.869	1.28	1.58	3.21	0.00	3.48	0.84	0.90	7.15	0.17	0.84	0.06	0.064	4.24	0.25	0.44	5657.6912	5.6577
86.896	1.04	1.91	3.96	0.10	2.84	0.91	1.19	6.78	0.19	0.99	0.02	0.007	3.01	0.49	0.48	5657.7767	5.6578
86.923	1.34	2.04	3.85	0.21	1.71	0.94	1.86	6.16	0.18	0.79	0.01	0.017	3.69	0.31	0.44	5657.8647	5.6579
86.950	0.67	2.96	0.90	0.10	0.98	1.00	2.06	6.25	0.16	1.03	0.01	0.003	3.01	0.11	0.41	5657.9554	5.6580
86.977	1.17	2.29	1.54	0.00	2.82	0.77	2.25	5.46	0.13	0.76	0.01	0.000	2.34	0.70	0.49	5658.0494	5.6580
87.004	0.75	2.04	1.33	0.10	1.52	0.80	2.25	5.79	0.11	0.85	0.01	0.007	0.75	0.05	0.78	5658.1481	5.6581
87.031	0.85	3.05	2.08	0.10	2.40	0.78	2.01	4.99	0.13	0.93	0.04	0.000	1.17	0.26	0.48	5658.2511	5.6583
87.059	0.89	2.96	1.58	0.00	3.41	0.80	1.53	4.48	0.13	0.74	0.02	0.013	1.16	0.20	0.44	5658.3621	5.6584
87.086	0.76	5.53	2.76	0.00	1.37	0.76	1.76	5.27	0.14	1.20	0.01	0.000	1.55	0.35	0.80	5658.4726	5.6585
87.113	0.73	2.58	1.89	0.00	1.17	0.72	1.68	6.10	0.20	1.11	0.08	0.014	1.56	0.12	0.56	5658.5859	5.6586
87.140	0.81	3.86	1.67	0.12	1.81	0.81	1.76	6.42	0.14	0.88	0.03	0.000	3.90	0.21	0.91	5658.7017	5.6587
87.167	0.79	2.09	1.51	0.00	1.66	0.85	1.30	10.70	0.16	0.89	0.01	0.020	4.35	0.02	0.69	5658.8192	5.6588
87.194	1.47	1.28	2.09	0.00	0.57	0.93	1.21	10.73	0.17	0.69	0.03	0.016	0.59	0.00	0.50	5658.9382	5.6589
87.221	0.98	1.39	0.88	0.00	1.21	0.83	0.95	9.50	0.18	0.84	0.01	0.010	0.93	0.02	0.36	5659.0605	5.6591
87.248	0.90	2.34	1.75	0.00	0.87	0.83	0.93	8.25	0.17	0.70	0.02	0.000	1.14	0.14	0.39	5659.1971	5.6592
87.275	0.83	3.86	1.94	0.00	3.02	0.86	1.35	7.88	0.18	0.78	0.02	0.004	0.80	0.08	0.51	5659.344	5.6593
87.302	0.66	2.66	0.63	0.00	0.75	0.86	1.47	6.99	0.17	0.71	0.01	0.000	1.70	0.00	0.44	5659.4947	5.6595
87.329	1.03	4.36	1.96	0.00	0.87	0.86	1.71	7.10	0.14	0.90	0.00	0.000	0.64	0.02	0.50	5659.6428	5.6596
87.356	1.11	4.04	1.59	0.21	1.30	0.86	1.58	7.58	0.17	0.78	0.02	0.000	8.09	0.34	0.53	5659.7817	5.6598
87.383	0.87	5.32	2.62	0.00	2.52	0.84	1.34	7.50	0.17	0.90	0.01	0.000	1.41	0.14	0.76	5659.9052	5.6599
87.410	0.81	6.78	1.95	0.21	1.96	0.82	1.62	7.59	0.21	0.78	0.01	0.004	1.17	0.34	1.47	5660.0066	5.6600
87.437	1.25	3.81	1.40	0.00	3.11	0.84	1.58	7.29	0.16	0.93	0.00	0.007	0.63	0.15	0.67	5660.0914	5.6601
87.464	1.16	2.28	1.06	0.00	1.50	0.90	1.36	10.28	0.16	0.79	0.02	0.004	1.85	0.06	0.68	5660.1676	5.6602
87.491	1.23	3.56	1.54	0.00	1.81	0.92	1.04	10.48	0.14	0.83	0.01	0.000	1.18	0.09	0.73	5660.2364	5.6602
87.518	1.05	4.36	1.00	0.00	2.74	0.85	1.06	9.92	0.16	0.98	0.03	0.000	0.91	0.08	0.61	5660.2993	5.6603
87.545	0.73	5.42	2.80	0.00	1.64	0.82	1.15	10.36	0.11	0.78	0.02	0.007	0.96	0.19	0.79	5660.3575	5.6604
87.573	1.13	5.04	1.72	0.23	1.70	0.88	1.55	7.70	0.15	0.87	0.02	0.000	1.80	0.30	0.69	5660.4143	5.6604
87.600	0.76	7.89	3.09	0.00	3.86	0.80	1.09	6.92	0.17	0.93	0.02	0.000	2.43	0.29	0.74	5660.4672	5.6605
87.627	1.23	8.96	2.75	0.10	3.58	0.81	1.51	6.74	0.15	0.81	0.05	0.004	4.53	0.50	0.87	5660.5195	5.6605
87.654	1.06	9.72	4.09	0.00	4.40	0.82	1.55	7.57	0.16	0.83	0.02	0.013	3.69	0.39	1.44	5660.5726	5.6606
87.681	1.12	6.60	2.40	0.00	3.19	0.79	1.51	6.88	0.17	0.69	0.01	0.000	2.19	0.44	1.04	5660.6277	5.6606
87.708	0.90	6.96	4.15	0.31	4.73	0.81	1.33	6.98	0.19	0.93	0.02	0.000	2.34	0.37	0.65	5660.6864	5.6607
87.735	1.11	3.11	2.25	0.00	1.44	0.84	1.13	9.18	0.20	0.73	0.02	0.000	0.99	0.31	1.01	5660.7498	5.6607
87.762	0.89	5.64	3.38	0.57	3.45	0.90	1.01	10.61	0.22	0.88	0.01	0.000	6.18	0.44	0.84	5660.8193	5.6608
87.789	1.07	7.38	2.64	0.10	1.67	0.85	0.75	9.61	0.24	1.09	0.03	0.000	2.44	0.30	0.92	5660.8963	5.6609
87.816	1.16	4.37	2.67	0.00	1.06	0.87	1.30	8.15	0.17	0.98	0.02	0.000	2.16	0.15	1.15	5660.9821	5.6610
87.843	1.12	6.77	2.29	0.10	1.46	0.79	1.43	7.78	0.17	1.03	0.02	0.000	0.79	0.29	0.74	5661.0868	5.6611
87.870	1.00	8.12	5.44	0.00	3.27	0.87	1.30	9.47	0.16	1.03	0.05	0.000	1.90	1.04	1.89	5661.2221	5.6612
87.897	0.82	6.26	4.71	0.23	1.61	0.93	0.60	11.05	0.15	0.80	0.02	0.008	1.11	0.42	1.14	5661.3774	5.6614
87.924	0.77	4.64	2.09	0.00	1.06	0.85	0.43	10.86	0.18	0.88	0.02	0.004	1.45	0.28	0.84	5661.5417	5.6615
87.951	0.88	2.93	1.97	0.11	2.06	0.85	0.50	10.37	0.21	0.75	0.01	0.000	1.27	0.12	0.86	5661.704	5.6617
87.978	0.77	3.73	1.67	0.10	1.70	0.83	0.57	9.17	0.14	0.84	0.03	0.004	0.92	0.18	0.70	5661.8533	5.6619
88.005	0.77	3.05	1.27	0.00	0.79	0.84	0.92	7.91	0.17	0.78	0.01	0.000	0.87	0.22	0.66	5661.9786	5.6620
88.032	1.02	5.79	3.61	0.10	2.92	0.82	0.93	6.39	0.20	1.12	0.05	0.000	1.95	0.30	0.66	5662.0781	5.6621
88.059	0.85	6.15	3.95	0.20	2.53	0.81	1.16	7.16	0.18	0.89	0.02	0.007	0.95	0.17	1.03	5662.1679	5.6622
88.086	1.04	6.41	3.11	0.00	2.23	0.83	1.24	7.09	0.17	0.95	0.13	0.000	0.99	0.34	1.17	5662.25	5.6623
88.114	0.91	5.55	3.05	0.20	3.38	0.81	1.14	6.90	0.14	0.81	0.04	0.004	1.12	0.15	0.82	5662.3288	5.6623
88.141	0.94	7.16	4.70	0.10	8.93	0.82	1.34	6.23	0.14	1.13	0.03	0.013	3.18	0.52	0.81	5662.4001	5.6624
88.168	1.12	9.50	7.01	0.00	4.50	0.83	1.23	6.29	0.15	0.95	0.05	0.010	3.70	0.61	1.58	5662.4684	5.6625
88.195	0.98	6.68	4.34	0.22	3.34	0.84	1.42	7.08	0.14	0.74	0.03	0.004	4.22	0.53	1.47	5662.5351	5.6625
88.222	0.81	10.03	3.92	0.32	3.11	0.81	1.25	6.02	0.20	0.88	0.04	0.017	2.31	0.09	1.10	5662.6018	5.6626
88.249	1.05	8.72	5.04	0.00	4.30	0.85	1.70	6.42	0.17	1.00	0.12	0.000	1.99	0.36	1.08	5662.67	5.6627
88.276	1.14	6.91	3.51	0.10	1.36	0.82	1.61	6.96	0.18	0.85	0.02	0.000	1.65	0.44	1.57	5662.7412	5.6627
88.303	1.01	4.83	2.48	0.00	2.32	0.94	1.24	9.50	0.15	0.89	0.02	0.000	1.45	0.45	0.97	5662.8168	5.6628
88.330	1.25	4.18	3.66	0.00	13.80	1.00	0.97	13.52	0.14	1.12	0.10	0.000	0.39	0.40	0.84	5662.8983	5.6629
88.357	1.02	6.40	7.77	0.00	2.40	0.90	1.17	12.92	0.13	0.88	0.01	0.004	79.33	0.54	1.14	5662.9874	5.6630
88.384	0.96	6.49	3.31	0.00	1.56	0.84	1.01	10.98	0.12	0.60	0.02	0.008	1.73	0.34	0.87	5663.0913	5.6631
88.411	1.00	4.20	3.11	0.00	2.29	0.80	1.29	7.41	0.17	0.79	0.04	0.000	3.10	0.38	0.65	5663.2154	5.6632
88.438	1.20	4.42	2.73	0.21	1.60	0.84	1.71	7.64	0.20	0.84	0.04	0.010	1.96	0.54	0.87	5663.3524	5.6634
88.465	1.48	3.91	2.73	0.55	2.35	0.87	1.82	8.21	0.20	0.94	0.05	0.000	4.63	1.69	0.98	5663.4948	5.6635
88.492	1.22	3.92	3.35	0.11	5.59	0.80	1.60	9.32	0.19	0.79	0.02	0.011	3.11	1.53	0.94	5663.6354	5.6636
88.519	1.55	4.85	2.78	0.00	2.90	0.84	1.79	10.49	0.18	1.11	0.16	0.026	9.92	2.75	1.01	5663.7667	5.6638
88.546	0.89	4.50	2.54	0.10	3.58	0.80	1.62	10.65	0.16	1.11	0.04	0.010	3.45	0.47	1.21	5663.8814	5.6639
88.573	0.81	2.22	1.37	0.11	0.66	0.85	0.93	10.82	0.17	0.87	0.05	0.000	1.08	0.12	0.78	5663.9722	5.6640
88.600	1.20	3.63	3.46	0.22	2.80	0.87	1.04	10.37	0.14	0.62	0.02	0.000	2.47	0.19	0.88	5664.0377	5.6640
88.627	0.70	1.48	2.09	0.31	0.89	0.80	1.08	8.61	0.17	0.70	0.01	0.007	1.28	0.05	0.53	5664.0969	5.6641
88.655	0.90	2.56	1.47	0.00	0.87	0.77	1.35	6.94	0.22	0.89	0.03	0.000	0.53	0.21	0.42	5664.154	5.6642
88.682	0.82	3.28	2.01	0.00	2.99	0.81	1.59	7.36	0.21	0.90	0.04	0.000	1.97	0.19	0.57	5664.2051	5.6642
88.709	0.95	1.71	1.22	0.00	0.23	0.81	1.21	7.07	0.17	0.73	0.02	0.010	1.39	0.15	0.47	5664.2529	5.6643
88.736	0.84	1.62	1.49	0.00	0.93	0.80	1.37	7.41	0.20	0.88	0.01	0.000	0.90	0.05	0.36	5664.2974	5.6643
88.763	1.44	2.59	2.48	0.00	1.76	0.82	1.41	8.45	0.19	0.90	0.01	0.000	1.30	0.29	0.34	5664.3392	5.6643
88.790	1.13	2.34	2.82	0.00	1.17	0.86	1.30	10.94	0.20	0.94	0.04	0.004	0.47	0.18	0.63	5664.3784	5.6644
88.817	0.94	1.74	3.01	0.00	1.78	0.82	0.94	10.29	0.16	0.89	0.01	0.004	6.87	0.33	0.65	5664.4154	5.6644
88.844	0.82	2.49	3.16	0.00	1.81	0.84	0.83	9.86	0.16	0.70	0.01	0.000	3.51	0.23	0.67	5664.4505	5.6645
88.871	1.62	4.73	8.47	0.11	2.55	0.85	0.80	10.35	0.15	1.14	0.06	0.000	2.41	0.48	0.71	5664.484	5.6645
88.898	1.11	2.58	6.31	0.00	4.12	0.81	0.85	12.08	0.19	0.79	0.12	0.000	2.45	0.40	1.12	5664.5163	5.6645
88.925	1.06	4.70	9.49	0.00	2.06	0.77	0.98	10.02	0.15	0.92	0.02	0.000	1.80	0.86	0.80	5664.5476	5.6645
88.952	0.76	3.23	5.73		3.35	0.88	1.18	8.80	0.19	1.00	0.02	0.000	1.08	0.86	0.85	5664.5782	5.6646
88.979	1.06	4.21	4.89	0.00	3.40	0.82	1.03	8.86	0.18	1.13	0.03	0.000	2.18	1.26	0.69	5664.6086	5.6646
89.006	0.96	1.28	4.46	0.00	1.72	0.80	1.46	8.84	0.20	1.02	0.02	0.000	2.28	1.05	0.66	5664.6389	5.6646
89.033	1.24	3.45	6.20	0.00	4.10	0.85	1.28	9.95	0.16	0.92	0.04	0.011	9.32	0.75	0.78	5664.6695	5.6647
89.060	0.82	3.23	3.16	0.00	1.21	0.87	1.05	9.80	0.21	0.73	0.02	0.000	1.38	0.39	0.85	5664.7007	5.6647
89.087	0.84	1.85	3.41	0.00	1.74	0.89	0.93	10.77	0.14	0.83	0.02	0.000	0.17	0.25	0.73	5664.7328	5.6647
89.114	0.99	2.86	7.84	0.21	3.95	0.94	0.86	11.65	0.14	0.68	0.05	0.000	1.61	0.24	0.64	5664.7662	5.6648
89.141	0.94	2.55	5.29	0.10	2.28	0.94	1.11	9.83	0.13	0.95	0.04	0.003	1.67	0.27	0.71	5664.8011	5.6648
89.169	0.95	3.47	3.79	0.00	1.78	0.87	1.26	9.82	0.13	1.14	0.03	0.000	0.74	0.02	1.34	5664.8393	5.6648
89.196	0.84	2.88	3.54	0.00	1.27	0.88	1.51	9.11	0.13	0.65	0.02	0.022	0.75	0.13	0.64	5664.8784	5.6649
89.223	0.92	2.94	7.27	0.00	3.69	0.84	1.29	8.21	0.12	0.78	0.03	0.004	2.65	0.15	0.65	5664.9199	5.6649
89.250	0.74	2.86	5.32	0.00	1.96	0.87	1.62	7.58	0.13	0.94	0.03	0.000	1.68	0.05	0.74	5664.9643	5.6650
89.277	0.89	1.69	2.38	0.00	1.34	0.86	1.49	7.80	0.11	0.97	0.02	0.000	1.17	0.02	0.74	5665.0117	5.6650
89.304	0.63	1.72	1.66	0.00	0.63	0.85	1.59	7.21	0.14	0.94	0.00	0.017	0.61	0.08	0.52	5665.0619	5.6651
89.331	0.78	1.65	2.83	0.00	1.24	0.81	1.67	7.82	0.13	1.03	0.02	0.000	1.48	0.26	0.42	5665.1146	5.6651
89.358	0.66	1.88	3.24	0.00	1.49	0.88	1.77	7.59	0.12	0.95	0.02	0.052	2.07	0.32	0.51	5665.1695	5.6652
89.385	0.67	1.73	1.98	0.00	2.63	0.87	1.51	7.44	0.15	1.07	0.03	0.007	2.48	0.12	0.38	5665.2265	5.6652
89.412	1.05	2.32	4.80	0.00	11.48	0.85	1.62	7.36	0.12	1.21	0.01	0.000	3.52	0.24	0.47	5665.2854	5.6653
89.439	0.71	1.44	2.06	0.00	3.50	0.82	1.36	7.37	0.16	1.18	0.02	0.004	1.57	0.22	0.51	5665.3461	5.6653
89.466	0.82	1.69	1.13	0.00	1.14	0.80	1.50	7.13	0.17	1.07	0.01	0.000	1.15	0.24	0.22	5665.4083	5.6654
89.493	0.87	1.44	0.85	0.00	1.82	0.89	1.57	7.68	0.17	1.08	0.03	0.007	3.97	0.02	0.31	5665.472	5.6655
89.520	0.67	1.16	0.78	0.00	1.80	0.84	1.39	7.66	0.15	1.08	0.01	0.000	0.64	0.11	0.27	5665.537	5.6655
89.547	0.44	2.81	2.05	0.00	6.23	0.85	1.32	7.75	0.18	1.06	0.03	0.000	2.60	0.08	0.22	5665.6031	5.6656
89.574	0.84	2.31	1.04	0.00	1.37	0.82	1.21	7.54	0.18	0.92	0.03	0.000	4.36	0.17	0.30	5665.67	5.6657
89.601	0.81	1.60	1.26	0.00	2.15	0.80	1.44	7.58	0.14	0.97	0.02	0.000	1.27	0.09	0.40	5665.7378	5.6657
89.628	0.80	1.14	2.07	0.00	0.84	0.83	1.53	7.81	0.18	1.04	0.01	0.000	0.80	0.09	0.34	5665.8062	5.6658
89.655	0.78	1.75	0.44	0.00	1.86	0.81	1.40	8.00	0.14	1.03	0.03	0.000	0.66	0.02	0.33	5665.875	5.6659
89.682	0.87	0.83	1.57	0.00	2.17	0.86	1.30	9.78	0.14	0.98	0.02	0.011	1.90	0.15	0.41	5665.944	5.6659
89.710	1.24	1.39	1.42	0.00	5.99	0.80	0.88	11.18	0.14	1.06	0.00	0.004	0.78	0.24	0.51	5666.0159	5.6660
89.737	1.10	0.76	3.12	0.11	2.49	0.83	1.03	13.09	0.17	1.02	0.00	0.011	0.88	0.06	0.54	5666.0891	5.6661
89.764	1.04	1.44	1.18	0.00	1.32	0.85	1.06	12.80	0.15	0.85	0.02	0.000	2.74	0.05	0.51	5666.167	5.6662
89.791	0.86	1.06	1.42	0.00	1.06	0.89	0.99	11.31	0.13	0.99	0.00	0.007	1.44	0.12	0.40	5666.2485	5.6662
89.818	0.98	1.49	1.69	0.00	4.55	0.91	1.18	9.66	0.19	1.12	0.03	0.000	1.30	0.13	0.40	5666.3326	5.6663
89.845	1.04	1.36	4.75	0.00	3.65	0.86	1.43	9.16	0.13	1.07	0.00	0.000	2.85	0.00	0.45	5666.4184	5.6664
89.872	1.03	1.51	12.26	0.00	1.55	0.80	1.01	10.03	0.14	0.97	0.08	0.004	3.93	0.25	0.44	5666.5047	5.6665
89.899	0.99	0.71	3.51	0.00	5.11	0.75	1.10	11.69	0.14	0.93	0.03	0.005	4.33	1.14	0.47	5666.5906	5.6666
89.926	0.95	1.70	1.56	0.00	2.50	0.80	0.92	12.40	0.13	0.64	0.04	0.000	2.38	0.31	0.45	5666.6751	5.6667
89.953	0.76	1.23	1.86	0.00	16.26	0.80	0.96	10.98	0.12	0.85	0.40	0.017	5.56	0.40	0.42	5666.757	5.6668
89.980	1.39	1.99	1.45	0.00	5.29	0.83	1.34	10.28	0.16	1.08	0.02	0.014	2.25	0.20	0.43	5666.8355	5.6668
90.007	0.80	1.30	1.28	0.26	2.81	0.83	1.09	10.03	0.15	0.97	0.00	0.005	7.14	0.00	0.37	5666.9094	5.6669
90.034	0.80	1.49	1.28	0.12	2.01	0.80	1.28	9.72	0.17	1.08	0.03	0.008	3.41	0.36	0.36	5666.9777	5.6670
90.061	0.99	1.95	5.83	0.00	3.76	0.79	1.30	9.73	0.17	1.00	0.01	0.000	2.05	0.25	0.45	5667.04	5.6670
90.088	0.76	1.29	1.93	0.00	1.20	0.80	1.46	10.00	0.18	1.11	0.03	0.008	3.22	0.06	0.38	5667.0977	5.6671
90.115	0.88	2.10	2.12	0.00	1.26	0.81	1.52	10.57	0.18	1.09	0.03	0.017	2.88	0.34	0.51	5667.1515	5.6672
90.142	1.13	2.15	2.15	0.12	3.14	0.80	1.52	9.97	0.15	1.07	0.03	0.004	2.10	0.10	1.32	5667.2019	5.6672
90.169	1.31	1.96	3.15	0.00	3.30	0.78	1.44	10.55	0.20	1.18	0.01	0.000	4.26	0.47	0.50	5667.2497	5.6672
90.196	0.82	1.06	1.56	0.00	2.71	0.75	1.07	11.59	0.18	0.76	0.03	0.000	1.24	0.15	0.51	5667.2952	5.6673
90.223	1.06	1.68	1.70	0.00	3.24	0.81	1.20	10.74	0.15	1.04	0.05	0.007	1.45	0.33	0.44	5667.3392	5.6673
90.251	1.15	1.83	0.46	0.00	1.66	0.77	1.60	10.33	0.16	1.21	0.04	0.134	0.85	0.19	0.43	5667.3838	5.6674
90.278	1.16	1.08	1.51	0.00	3.03	0.79	1.39	10.14	0.15	1.03	0.02	0.000	1.30	0.29	0.42	5667.4265	5.6674
90.305	1.13	1.26	0.94	0.10	1.42	0.81	1.41	10.82	0.14	1.22	0.03	0.000	2.35	0.05	0.52	5667.4693	5.6675
90.332	1.05	1.73	2.16	0.00	1.76	0.81	1.29	10.07	0.17	1.03	0.14	0.035	4.27	0.20	0.46	5667.513	5.6675
90.359	1.14	1.89	1.82	0.00	2.11	0.83	1.53	11.49	0.21	1.17	0.10	0.007	5.14	0.15	0.51	5667.558	5.6676
90.386	1.06	2.21	2.26	0.00	2.58	0.81	1.12	10.26	0.14	0.92	0.07	0.007	1.80	0.18	0.42	5667.6051	5.6676
90.413	1.11	2.82	1.84	0.10	4.02	0.85	1.30	9.28	0.18	0.95	0.03	0.007	8.84	0.21	0.40	5667.6547	5.6677
90.440	0.88	1.97	2.25	0.10	4.76	0.84	1.67	9.28	0.16	1.12	0.02	0.000	3.48	0.33	0.47	5667.7074	5.6677
90.467	1.45	1.31	4.71	0.21	3.83	0.85	1.28	9.42	0.18	1.06	0.12	0.011	66.31	0.42	0.52	5667.764	5.6678
90.494	1.26	1.78	4.41	0.21	7.14	0.78	1.23	10.26	0.16	1.23	0.06	0.000	5.78	0.71	0.56	5667.8248	5.6678
90.521	1.01	1.40	2.87	0.00	2.74	0.79	1.12	9.58	0.18	1.11	0.05	0.000	1.34	0.46	0.52	5667.8906	5.6679
90.548	0.96	2.08	2.64	0.10	2.07	0.77	1.23	10.02	0.13	0.93	0.11	0.000	2.33	0.15	0.53	5667.9619	5.6680
90.575	0.96	1.35	0.80	0.10	1.98	0.78	1.01	8.62	0.21	0.80	0.02	0.007	0.76	0.25	0.31	5668.042	5.6680
90.602	0.89	1.82	5.43	0.00	3.51	0.81	1.49	9.12	0.16	0.89	0.02	0.016	6.03	0.28	0.27	5668.1462	5.6681
90.629	0.98	1.85	2.23	0.21	2.30	0.85	1.30	7.67	0.18	0.84	0.02	0.011	1.89	0.22	0.31	5668.2711	5.6683
90.656	1.29	1.69	4.91	0.34	3.70	0.84	0.89	11.36	0.15	0.83	0.03	0.000	7.35	0.16	0.47	5668.4095	5.6684
90.683	1.26	0.82	4.09	0.12	2.22	0.87	1.13	12.20	0.17	0.76	0.02	0.000	2.42	0.42	0.60	5668.5546	5.6686
90.710	1.61	1.80	3.03	0.00	3.56	0.93	1.11	10.66	0.19	0.89	0.04	0.004	2.35	0.47	0.43	5668.6993	5.6687
90.737	1.35	2.61	1.87	0.00	4.06	0.84	1.18	10.37	0.22	1.06	0.06	0.000	0.48	0.23	0.48	5668.8365	5.6688
90.764	1.16	1.52	0.98	0.00	2.16	0.86	1.00	11.53	0.20	1.00	0.05	0.000	2.82	0.24	0.54	5668.9593	5.6690
90.792	1.23	2.06	2.92	0.00	2.22	0.92	1.25	11.29	0.20	1.13	0.05	0.000	33.60	0.08	0.65	5669.0693	5.6691
90.819	1.08	2.14	1.79	0.10	3.87	0.85	1.60	10.58	0.19	1.19	0.05	0.000	2.73	0.51	0.81	5669.1712	5.6692
90.846	1.06	1.51	2.85	0.10	2.41	0.79	1.47	11.19	0.13	1.28	0.07	0.088	1.31	0.43	0.57	5669.2702	5.6693
90.873	1.09	1.89	4.16	0.19	3.19	0.77	1.54	10.86	0.22	1.37	0.04	0.000	2.29	0.23	0.67	5669.3664	5.6694
90.900	1.90	2.41	6.20	0.00	4.62	0.79	1.27	12.90	0.14	0.99	0.01	0.000	1.28	0.59	0.69	5669.46	5.6695
90.927	1.11	2.06	6.64	0.20	3.61	0.81	0.99	10.89	0.16	0.83	0.03	0.000	1.14	0.33	0.52	5669.5511	5.6696
90.954	1.07	1.14	5.23	0.00	2.02	0.78	1.48	9.63	0.19	0.78	0.04	0.000	196.04	0.48	0.46	5669.64	5.6696
90.981	1.17	2.26	5.45	0.18	11.56	0.86	1.40	8.63	0.21	1.00	0.09	0.003	3.86	0.44	0.54	5669.7267	5.6697
91.008	1.21	1.44	4.05	0.00	6.39	0.84	1.37	8.20	0.21	0.99		0.012	4.63	0.77	0.43	5669.8115	5.6698
91.035	0.97	2.25	2.49	0.10	5.31	0.88	1.59	8.95	0.18	1.02	0.01	0.003	2.68	0.49	0.39	5669.8945	5.6699
91.062	1.25	1.42	3.37	0.00	3.39	0.96	1.35	11.39	0.14	1.03	0.04	0.010	7.37	0.47	0.53	5669.9758	5.6700
91.089	0.80	1.32	2.70	0.00	1.14	0.98	1.29	9.84	0.14	0.84	0.03	0.013	1.62	0.43	0.54	5670.0554	5.6701
91.116	1.24	1.71	3.90	0.10	9.32	0.89	1.40	9.04	0.13	0.83	0.09	0.010	4.24	0.41	0.40	5670.1325	5.6701
91.143	0.83	3.13	26.18	0.76	4.98	0.88	1.61	8.23	0.19	0.71	0.01	0.000	9.38	0.25	0.61	5670.2075	5.6702
91.170	1.31	1.90	3.31	0.10	3.08	0.88	1.57	8.30	0.17	0.75	0.04	0.003	4.49	0.14	0.52	5670.2807	5.6703
91.197	1.02	2.58	1.73	0.19	5.49	0.85	1.43	8.35	0.23	0.94	0.03	0.016	1.31	0.23	0.52	5670.3525	5.6704
91.224	1.21	1.81	5.48	0.00	3.17	0.82	1.38	9.47	0.21	1.12	0.06	0.000	14.14	0.40	0.73	5670.4233	5.6704
91.251	1.38	1.87	5.32	0.00	2.59	0.92	1.08	9.72	0.19	1.08	0.02	0.000	1.90	0.29	0.81	5670.4934	5.6705
91.278	1.15	1.76	4.65	0.00	3.86	0.93	1.40	9.85	0.19	1.03	0.03	0.000	2.66	0.18	1.16	5670.5634	5.6706
91.306	1.19	2.31	7.95	0.10	2.26	0.91	1.60	9.23	0.25	1.31	0.01	0.003	1.79	0.14	1.47	5670.636	5.6706
91.333	1.14	1.73	5.47	0.00	1.22	0.97	1.65	9.89	0.22	0.92	0.05	0.004	1.26	0.09	1.09	5670.7065	5.6707
91.360	1.73	2.16	5.46	0.00	6.10	0.97	1.60	9.63	0.19	0.92	0.05	0.017	2.97	0.32	1.05	5670.778	5.6708
91.387	1.40	2.48	7.68	0.00	6.28	0.93	1.55	9.03	0.20	1.09	0.08	0.000	2.20	0.45	1.40	5670.8507	5.6709
91.414	1.24	2.30	8.65	0.11	3.48	0.98	1.67	9.86	0.22	0.88	0.05	0.004	3.29	0.38	1.49	5670.925	5.6709
91.441	2.84	3.18	15.61	0.20	7.07	0.97	1.70	9.00	0.19	0.81	0.12	0.003	3.41	0.63	1.58	5671.0014	5.6710
91.468	3.82	6.23		0.00	14.63	0.94	2.15	9.73	0.17	1.25	0.19	0.007	17.63	1.55	4.28	5671.0813	5.6711
91.495	1.75	4.45	26.57	0.00	5.91	0.84	1.91	10.53	0.22	0.89	0.04	0.013	48.69	5.85	6.49	5671.1652	5.6712
91.522	1.20	1.44	7.08	0.00	2.86	0.95	1.76	9.81	0.22	0.74	0.03	0.016	4.01	0.41	2.86	5671.2521	5.6713
91.549	1.25	1.56	1.74	0.11	3.72	0.86	1.79	8.60	0.23	1.04	0.04	0.007	2.61	0.00	0.66	5671.3412	5.6713
91.576	1.53	1.48	2.37	0.00	1.52	0.89	1.64	10.75	0.22	0.74	0.02	0.000	1.32	0.03	0.80	5671.4314	5.6714
91.603	1.60	2.36	4.62	0.00	2.75	0.99	1.28	11.05	0.26	0.67	0.06	0.008	3.08	0.06	0.74	5671.5219	5.6715
91.630	1.24	2.65	4.19	0.00	2.73	0.96	1.34	10.55	0.21	0.76	0.06	0.000	2.45	0.27	0.97	5671.6116	5.6716
91.657	1.09	2.02	8.16	0.00	1.68	1.00	1.40	9.69	0.21	0.79	0.04	0.011	3.41	0.16	0.89	5671.6996	5.6717
91.684	2.00	4.00	19.76	0.00	9.48	1.04	1.58	9.06	0.17	0.85	0.11	0.013	10.57	0.27	1.38	5671.7851	5.6718
91.711	2.37	4.42	20.97	0.00	10.58	1.09	1.83	10.47	0.21	0.88	0.11	0.121	7.31	0.53	6.66	5671.8669	5.6719
91.738	1.83	4.34	25.65	0.29	27.02	0.89	1.96	10.03	0.17	1.06	0.11	0.009	8.29	0.46	3.94	5671.9443	5.6719
91.765	1.77	3.29	11.89	0.00	17.15	0.94	1.79	10.37	0.21	1.12	0.06	0.010	7.83	0.29	2.82	5672.0164	5.6720
91.792	1.82	4.94	23.86	0.00	19.32	0.93	1.71	10.02	0.24	0.98	0.15	0.009	18.59	0.48	2.57	5672.0861	5.6721
91.819	2.58	4.67	18.11	0.20	22.05	0.93	1.87	11.54	0.21	1.04	0.16	0.007	21.38	0.75	4.01	5672.1546	5.6722
